lat,lon,p_reunion_timed
-42.0,82.0,0.000012
-42.0,82.5,0.000012
-42.0,83.0,0.000012
-42.0,83.5,0.000012
-42.0,84.0,0.000012
-42.0,84.5,0.000012
-42.0,85.0,0.000012
-42.0,85.5,0.000012
-42.0,86.0,0.000012
-42.0,86.5,0.000012
-42.0,87.0,0.000022
-42.0,87.5,0.000022
-42.0,88.0,0.000062
-42.0,88.5,0.002792
-42.0,89.0,0.002687
-42.0,89.5,0.002855
-42.0,90.0,0.002842
-42.0,90.5,0.005323
-42.0,91.0,0.006102
-42.0,91.5,0.005285
-42.0,92.0,0.005177
-42.0,92.5,0.005492
-42.0,93.0,0.004640
-42.0,93.5,0.004404
-42.0,94.0,0.004352
-42.0,94.5,0.004498
-42.0,95.0,0.004059
-42.0,95.5,0.004233
-42.0,96.0,0.005503
-42.0,96.5,0.005457
-42.0,97.0,0.005232
-42.0,97.5,0.005308
-42.0,98.0,0.005042
-42.0,98.5,0.007951
-42.0,99.0,0.007945
-42.0,99.5,0.007381
-42.0,100.0,0.007452
-42.0,100.5,0.007539
-42.0,101.0,0.006028
-42.0,101.5,0.002346
-42.0,102.0,0.002346
-42.0,102.5,0.002346
-42.0,103.0,0.002346
-42.0,103.5,0.002346
-41.5,82.0,0.000012
-41.5,82.5,0.000012
-41.5,83.0,0.000012
-41.5,83.5,0.000012
-41.5,84.0,0.000012
-41.5,84.5,0.000012
-41.5,85.0,0.000012
-41.5,85.5,0.000012
-41.5,86.0,0.000012
-41.5,86.5,0.000012
-41.5,87.0,0.000022
-41.5,87.5,0.000022
-41.5,88.0,0.000062
-41.5,88.5,0.002792
-41.5,89.0,0.002687
-41.5,89.5,0.002855
-41.5,90.0,0.002842
-41.5,90.5,0.005323
-41.5,91.0,0.006102
-41.5,91.5,0.005285
-41.5,92.0,0.005177
-41.5,92.5,0.005492
-41.5,93.0,0.004640
-41.5,93.5,0.004404
-41.5,94.0,0.004352
-41.5,94.5,0.004498
-41.5,95.0,0.004059
-41.5,95.5,0.004233
-41.5,96.0,0.005503
-41.5,96.5,0.005457
-41.5,97.0,0.005232
-41.5,97.5,0.005308
-41.5,98.0,0.005042
-41.5,98.5,0.007951
-41.5,99.0,0.007945
-41.5,99.5,0.007381
-41.5,100.0,0.007452
-41.5,100.5,0.007539
-41.5,101.0,0.006028
-41.5,101.5,0.002346
-41.5,102.0,0.002346
-41.5,102.5,0.002346
-41.5,103.0,0.002346
-41.5,103.5,0.002346
-41.0,82.0,0.000012
-41.0,82.5,0.000012
-41.0,83.0,0.000012
-41.0,83.5,0.000012
-41.0,84.0,0.000012
-41.0,84.5,0.000012
-41.0,85.0,0.000012
-41.0,85.5,0.000012
-41.0,86.0,0.000012
-41.0,86.5,0.000012
-41.0,87.0,0.000022
-41.0,87.5,0.000022
-41.0,88.0,0.000062
-41.0,88.5,0.002792
-41.0,89.0,0.002687
-41.0,89.5,0.002855
-41.0,90.0,0.002842
-41.0,90.5,0.005323
-41.0,91.0,0.006102
-41.0,91.5,0.005285
-41.0,92.0,0.005177
-41.0,92.5,0.005492
-41.0,93.0,0.004640
-41.0,93.5,0.004404
-41.0,94.0,0.004352
-41.0,94.5,0.004498
-41.0,95.0,0.004059
-41.0,95.5,0.004233
-41.0,96.0,0.005503
-41.0,96.5,0.005457
-41.0,97.0,0.005232
-41.0,97.5,0.005308
-41.0,98.0,0.005042
-41.0,98.5,0.007951
-41.0,99.0,0.007945
-41.0,99.5,0.007381
-41.0,100.0,0.007452
-41.0,100.5,0.007539
-41.0,101.0,0.006028
-41.0,101.5,0.002346
-41.0,102.0,0.002346
-41.0,102.5,0.002346
-41.0,103.0,0.002346
